,Quarter,Tesla Quarterly Revenue (Millions),IXIC,CL,Vehicle Sales
0,2009-06-30,26.945,1731.4044374143923,59.61915964674296,2592695
1,2009-09-30,45.527,1985.2467026923814,68.2999497670976,2987326
2,2009-12-31,39.47,2162.327354847301,76.19060642358029,2588408
3,2010-03-31,20.812,2274.8195415296054,78.71508782661026,2526773
4,2010-06-30,28.405,2343.3961850825494,78.03242825870046,3051409
5,2010-09-30,31.241,2237.9671285610007,76.19941517112919,2992963
6,2010-12-31,36.286,2534.6152282098333,85.1742351966847,2939271
7,2011-03-31,49.03,2741.011147729101,94.10098755674267,3040925
8,2011-06-30,58.171,2766.636802878112,102.56126793370102,3245694
9,2011-09-30,57.666,2613.111577446663,89.76378959092376,3171284
10,2011-12-31,39.375,2600.9136400979664,94.05555519225105,3237809
11,2012-03-31,30.167,2902.897138745857,102.92866600499008,4423354
12,2012-06-30,26.653,2928.621485431886,93.48904942379026,3781628
13,2012-09-30,50.104,3029.860511804449,92.21690693409433,3599779
14,2012-12-31,306.332,3001.6895618257063,88.30865856352307,3571503
15,2013-03-31,561.792,3177.0978356943792,94.36904965355284,3668486
16,2013-06-30,405.139,3369.489588142164,94.22259094931864,4106452
17,2013-09-30,431.346,3643.633860455137,105.82440911495324,3929282
18,2013-12-31,615.219,3960.5404470755693,97.45946462485114,3786025
19,2014-03-31,620.542,4210.057338373604,98.68032570490762,3721435
20,2014-06-30,769.349,4195.806051587301,102.9920637342665,4392595
21,2014-09-30,851.804,4483.514377522434,97.167431141907,4242405
22,2014-12-31,956.661,4607.878028200384,73.14622496579857,4067582
23,2015-03-31,939.88,4821.989258863822,48.634775725125884,3944540
24,2015-06-30,954.976,5029.474911397739,57.942910661188215,4550214
25,2015-09-30,936.789,4921.812385151741,46.428095381325285,4511931
26,2015-12-31,1214.38,5000.694964044745,42.179939379836576,4398285
27,2016-03-31,1147.048,4609.466465941799,33.45106617366298,4079207
28,2016-06-30,1270.017,4845.5453439247385,45.59153672145387,4530504
29,2016-09-30,2298.436,5165.060527060688,44.9414482936767,4453600
30,2016-12-31,2284.631,5309.890485491072,49.30573824625166,4437408
31,2017-03-31,2696.27,5730.363305868909,51.91483950916817,4025699
32,2017-06-30,2789.557,6087.111182497259,48.28427475072931,4414485
33,2017-09-30,2984.675,6344.716800059443,48.203275301836534,4418627
34,2017-12-31,3288.499,6762.93233989589,55.401467744956626,4353754
35,2018-03-31,3408.751,7250.925794711388,62.87154566893104,4120229
36,2018-06-30,4002.231,7356.202719860435,67.8770918467688,4490727
37,2018-09-30,6824.0,7877.468245419652,69.50395342942643,4314596
38,2018-12-31,7226.019,7192.485652040541,58.742842734078685,4398297
39,2019-03-31,4541.0,7346.366573987051,54.89969913543217,3982368
40,2019-06-30,6350.0,7875.066932614369,59.81430242133863,4424472
41,2019-09-30,6303.0,8068.077297141335,56.45248479554147,4328707
42,2019-12-31,7384.0,8458.482558957687,56.960138201927464,4288347
43,2020-03-31,5985.0,8808.13861094646,46.17204384019002,3536981
44,2020-06-30,6036.0,9079.344657794461,27.84672790901658,2959584
45,2020-09-30,8771.0,10933.611058266819,40.92657279968262,4004999
46,2020-12-31,10744.0,11949.582182173297,42.65640906131629,4196273
47,2021-03-31,10389.0,13364.273742163663,57.84018319113213,3966620
48,2021-06-30,11958.0,13839.278698748085,66.07117945490806,4348865
49,2021-09-30,13757.0,14839.709710807854,70.56220060131078,3376343
50,2021-12-31,17719.0,15389.45898296582,77.17943750797069,3262977
51,2022-03-31,18756.0,14017.78961771042,94.29004025259245,3336089
52,2022-06-30,16934.0,12214.270553540426,108.35137122073043,3440313
53,2022-09-30,21454.0,11865.24730896038,91.55633777357777,3336959
